"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
442.879,123.171,0.903744,441.652,240.612,0.728131,352.905,241.971,0.602104,329.383,397.215,0.71864,0,0,0,532.98,234.132,0.656769,556.463,381.611,0.653863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.624,104.924,0.914744,462.501,107.517,0.922653,397.257,119.275,0.751962,485.958,121.885,0.746885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441.658,123.164,0.902924,442.902,240.656,0.72938,352.9,243.225,0.594842,329.382,397.264,0.715965,0,0,0,532.998,235.394,0.649716,556.469,381.59,0.660362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.397,104.921,0.915102,462.494,107.515,0.919511,397.262,119.284,0.739144,485.975,123.174,0.724789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.887,123.152,0.908743,442.917,241.905,0.7376,352.883,243.264,0.597091,329.394,397.268,0.705649,0,0,0,532.997,234.128,0.655548,556.456,384.179,0.704759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.63,104.925,0.912899,462.503,107.513,0.921525,397.273,119.251,0.73661,485.974,121.9,0.712203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.885,123.154,0.909314,442.964,240.649,0.73232,352.905,243.258,0.595335,329.405,395.962,0.711263,0,0,0,534.252,234.131,0.655791,556.441,385.526,0.69152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.613,104.936,0.910542,462.513,107.516,0.921009,397.261,119.281,0.731632,485.995,123.157,0.713733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.897,123.176,0.914957,442.943,241.906,0.725496,352.898,244.522,0.594945,329.366,397.224,0.705255,0,0,0,534.265,235.394,0.655669,556.459,384.209,0.71891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.629,104.939,0.913627,462.5,107.517,0.920611,397.256,119.258,0.734201,485.973,123.184,0.720257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.889,123.171,0.909809,444.22,240.66,0.727718,354.174,243.233,0.590749,329.363,397.213,0.735479,0,0,0,534.293,235.392,0.657342,556.46,382.918,0.717154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.627,104.939,0.916426,462.489,107.516,0.917745,397.251,120.543,0.734005,485.962,124.452,0.725821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.872,123.193,0.906534,442.961,240.645,0.722781,354.155,243.243,0.585649,329.371,395.917,0.730146,0,0,0,534.27,234.128,0.653568,556.456,384.197,0.721283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.39,106.172,0.916596,462.464,107.527,0.916142,397.241,119.294,0.739311,485.969,123.182,0.740828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.872,123.2,0.90407,442.95,240.66,0.72906,352.888,243.256,0.596464,329.351,397.227,0.721829,0,0,0,534.271,234.136,0.650324,556.468,385.511,0.725857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.375,106.194,0.92054,462.466,107.537,0.918421,397.276,119.301,0.748694,485.966,121.902,0.756265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.875,123.195,0.901493,442.94,241.904,0.727367,352.888,243.271,0.593047,329.356,395.969,0.719442,0,0,0,534.28,235.399,0.651855,556.474,386.791,0.726047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.391,106.187,0.91836,462.448,107.523,0.912871,397.275,119.291,0.753708,485.963,121.847,0.763419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.881,123.193,0.901554,444.221,240.642,0.736135,355.475,243.229,0.585184,329.348,395.948,0.737384,0,0,0,534.26,234.113,0.6586,556.471,386.789,0.723651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.615,106.182,0.91797,462.451,107.519,0.912835,397.277,119.284,0.747454,485.965,121.881,0.755343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
