"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
299.388,106.216,0.889081,304.585,231.509,0.711223,208.033,235.456,0.569815,197.596,388.118,0.789971,248.513,476.944,0.277491,401.186,228.889,0.60503,414.204,379.004,0.818822,365.96,476.938,0.247859,307.193,467.762,0.290962,257.628,476.909,0.192595,0,0,0,0,0,0,356.796,476.897,0.243565,0,0,0,0,0,0,281.094,87.9433,0.907513,318.92,85.3574,0.917322,255.008,106.192,0.696735,343.762,99.6748,0.757278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.394,106.223,0.88955,304.615,231.521,0.717558,207.998,236.723,0.557869,197.61,388.147,0.792035,249.787,476.945,0.249515,401.201,228.918,0.596517,414.205,378.989,0.821963,365.97,476.935,0.262135,304.63,467.787,0.278627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.843,87.9434,0.904963,318.924,85.3575,0.919884,254.983,104.937,0.705874,343.769,99.6669,0.750179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.384,106.2,0.888844,304.583,231.51,0.708304,208.006,235.441,0.565127,197.604,385.561,0.784655,249.772,476.944,0.275563,401.202,230.183,0.588737,412.969,379.001,0.824844,367.248,476.931,0.291338,304.612,470.379,0.250026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.094,87.9379,0.908402,318.922,85.3611,0.918859,254.995,104.907,0.696046,343.76,98.3882,0.752572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.377,106.211,0.886249,304.622,231.538,0.714856,208.021,236.723,0.561795,197.611,386.826,0.784733,248.512,476.944,0.266469,402.494,230.226,0.586979,414.206,378.991,0.824851,367.257,476.931,0.252624,305.937,467.754,0.28203,257.609,476.907,0.187596,0,0,0,0,0,0,359.4,467.758,0.250177,0,0,0,0,0,0,281.085,87.9305,0.900968,318.925,85.3487,0.913225,255.03,104.921,0.690651,343.769,97.1015,0.732007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.39,106.199,0.88479,304.585,231.477,0.711169,208.04,235.434,0.574478,198.863,386.798,0.771795,249.774,476.945,0.231982,401.18,228.917,0.583486,414.226,378.987,0.825782,367.245,476.932,0.277745,305.89,466.492,0.29875,256.31,476.904,0.195922,0,0,0,0,0,0,358.104,476.892,0.250317,0,0,0,0,0,0,281.089,87.9318,0.899718,318.935,85.3582,0.913873,256.272,104.913,0.680557,343.745,97.1167,0.741112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.383,106.192,0.890346,303.309,231.494,0.702277,208.04,235.463,0.583127,198.859,386.809,0.779381,249.782,476.946,0.226298,401.191,230.204,0.573992,414.247,378.989,0.823603,367.244,476.931,0.246456,304.629,466.435,0.315225,255.019,476.895,0.190646,0,0,0,0,0,0,359.406,466.452,0.26078,0,0,0,0,0,0,281.079,87.9331,0.900493,318.934,85.3551,0.914619,255.033,104.92,0.709204,343.757,98.3993,0.764745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.376,106.205,0.889562,304.602,231.52,0.705975,208.043,236.723,0.572785,198.916,388.113,0.783232,249.804,476.946,0.191021,401.196,230.216,0.584705,414.248,378.995,0.828877,367.243,476.932,0.254545,305.904,466.448,0.301879,255.027,476.899,0.186667,0,0,0,0,0,0,358.139,466.46,0.255452,0,0,0,0,0,0,281.089,87.9322,0.898381,318.926,85.354,0.915621,255.041,104.92,0.67927,342.501,98.4254,0.762056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.39,106.203,0.888648,304.598,231.527,0.705791,208.044,236.72,0.571077,198.919,388.133,0.787436,251.062,476.947,0.192056,401.197,230.186,0.584241,414.264,377.711,0.818277,365.978,476.934,0.255393,303.289,466.473,0.294105,253.725,476.9,0.200134,0,0,0,0,0,0,354.223,476.89,0.244265,0,0,0,0,0,0,279.846,87.9371,0.899921,318.935,85.3543,0.915088,255.043,106.227,0.685861,343.733,98.4167,0.762063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.401,106.223,0.892457,304.576,231.517,0.702356,208.028,236.769,0.57131,200.159,388.148,0.788163,249.802,476.946,0.196358,401.173,230.186,0.570273,414.267,377.715,0.823785,365.979,476.936,0.249608,304.579,466.467,0.312636,253.723,476.897,0.194216,0,0,0,0,0,0,356.821,466.47,0.255054,0,0,0,0,0,0,279.835,87.9498,0.904288,318.924,85.366,0.917223,255.015,106.239,0.687191,343.774,98.4113,0.739067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.42,106.224,0.890609,304.6,231.506,0.708266,208.05,236.714,0.568706,198.898,388.117,0.787593,249.798,476.946,0.182877,402.485,230.221,0.570091,414.263,377.709,0.818547,367.231,476.935,0.237115,303.291,466.488,0.296451,253.681,476.897,0.184752,0,0,0,0,0,0,355.524,476.891,0.252061,0,0,0,0,0,0,279.823,87.9529,0.903486,318.932,85.3598,0.917592,254.989,107.5,0.680313,343.76,98.3932,0.737752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
