"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
318.962,153.196,0.924732,326.768,265.434,0.757435,239.351,270.677,0.605768,228.88,410.334,0.750528,0,0,0,415.541,261.526,0.636459,424.733,405.092,0.807847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.982,137.525,0.894084,337.208,133.671,0.90877,281.118,151.892,0.698894,359.439,146.697,0.819153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.963,153.208,0.922076,326.763,264.166,0.758858,240.631,269.395,0.617633,228.882,410.335,0.754204,0,0,0,414.256,260.225,0.63861,425.967,403.832,0.813895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.99,137.531,0.892068,337.212,133.657,0.909218,281.106,150.628,0.685029,359.418,146.681,0.820185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.948,153.211,0.921784,326.762,265.44,0.763577,239.346,269.388,0.610693,227.635,410.306,0.752374,0,0,0,415.538,262.809,0.643055,425.971,405.076,0.815428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.971,137.53,0.89156,337.198,133.661,0.904786,281.102,150.628,0.682268,359.406,146.697,0.822886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.953,153.22,0.921183,326.76,265.429,0.763869,239.353,269.375,0.616293,227.625,410.287,0.761593,0,0,0,415.554,261.539,0.627997,425.972,405.076,0.815839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.976,137.545,0.891838,337.214,133.662,0.906587,281.114,150.634,0.693677,359.43,146.654,0.781698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.95,153.222,0.919361,326.769,265.41,0.767961,239.378,269.355,0.615983,228.889,409.022,0.738789,0,0,0,415.568,261.527,0.635926,425.958,405.135,0.812817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.973,137.554,0.892692,337.208,133.658,0.904054,281.109,151.884,0.696002,359.41,145.392,0.789484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.951,153.222,0.919626,326.77,264.164,0.764276,240.655,268.097,0.620431,227.595,408.988,0.766275,0,0,0,415.542,260.231,0.638668,424.73,405.145,0.804213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.977,137.557,0.892549,337.208,133.662,0.903725,281.105,151.884,0.683843,359.407,146.656,0.769196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.952,153.236,0.916481,326.761,264.169,0.76735,239.375,269.345,0.632848,227.636,410.302,0.754711,0,0,0,415.534,260.253,0.629384,425.961,406.381,0.805256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.972,137.555,0.891169,337.199,133.673,0.90186,281.112,151.896,0.701371,359.405,146.662,0.77501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.944,153.231,0.918027,325.517,265.428,0.75644,239.347,269.397,0.617062,227.614,409,0.760763,0,0,0,415.523,261.509,0.629451,425.97,405.113,0.811037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.978,137.571,0.893064,337.19,133.665,0.902421,281.104,151.89,0.700422,359.399,146.67,0.774225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.943,153.231,0.918224,325.483,264.164,0.759282,239.325,269.383,0.620384,227.619,409.015,0.763583,0,0,0,414.265,260.242,0.624128,425.969,405.099,0.81479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.979,137.563,0.893325,337.183,133.67,0.900403,281.104,151.893,0.691812,359.4,145.408,0.767955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.948,153.233,0.917399,325.501,265.414,0.764234,239.354,269.37,0.625766,227.624,409.039,0.77084,0,0,0,415.526,260.251,0.637094,425.982,403.798,0.820159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.975,137.56,0.892521,337.191,133.674,0.900692,281.094,151.91,0.691743,359.402,146.66,0.771572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
