"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
298.087,103.612,0.907027,305.889,230.21,0.73454,209.317,232.843,0.584388,192.371,382.948,0.805428,252.378,476.938,0.333077,401.2,230.189,0.602932,423.406,372.484,0.838811,369.884,476.928,0.532272,311.133,466.463,0.317125,262.852,476.896,0.228177,0,0,0,0,0,0,360.731,458.633,0.243438,0,0,0,0,0,0,279.801,86.6434,0.915752,316.368,82.7086,0.910845,256.272,102.322,0.792603,342.423,101.027,0.663905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.091,103.593,0.908173,304.617,230.233,0.725838,209.313,234.129,0.592345,192.323,382.912,0.8049,252.401,476.942,0.293787,402.477,228.92,0.607409,424.662,371.183,0.836514,371.138,476.928,0.532443,309.806,466.453,0.314521,261.523,476.895,0.219736,0,0,0,0,0,0,360.747,458.632,0.250654,0,0,0,0,0,0,279.825,86.6259,0.912226,316.386,81.4654,0.912831,255.052,102.297,0.801159,342.428,103.615,0.679459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.087,103.59,0.906751,305.92,230.216,0.731859,210.642,232.84,0.595406,192.341,381.637,0.806261,252.404,476.943,0.252061,401.212,227.622,0.61625,424.662,371.157,0.835353,371.174,476.923,0.560078,311.115,466.45,0.319821,261.543,476.898,0.217555,0,0,0,0,0,0,362.042,459.93,0.254729,0,0,0,0,0,0,279.831,86.6271,0.91079,316.389,81.4588,0.912307,256.277,101.041,0.779045,342.431,99.7085,0.711209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.088,103.593,0.909039,305.944,228.917,0.727952,209.332,234.099,0.583122,192.327,382.902,0.805219,252.404,476.943,0.230429,402.51,227.619,0.603506,424.655,371.163,0.827141,371.16,476.924,0.514567,308.548,465.116,0.333281,261.516,476.893,0.223477,0,0,0,0,0,0,360.744,457.302,0.268142,0,0,0,0,0,0,279.83,86.6248,0.91121,317.608,82.6904,0.914663,256.312,101.01,0.748795,341.197,101.005,0.71653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.093,103.613,0.908324,305.889,227.638,0.720763,209.341,234.105,0.58651,192.331,382.906,0.801895,252.382,476.942,0.26887,401.168,227.574,0.601311,424.665,371.153,0.830399,371.142,476.926,0.489311,311.15,465.146,0.34204,264.146,476.893,0.226732,0,0,0,0,0,0,363.34,456.015,0.268302,0,0,0,0,0,0,279.823,86.6371,0.915083,317.606,82.7034,0.915962,256.309,101.039,0.745663,341.179,98.3603,0.719076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.097,103.606,0.9084,305.891,228.922,0.726011,209.331,234.128,0.584417,192.366,382.928,0.797819,252.389,476.942,0.259683,401.203,227.619,0.604042,424.673,371.131,0.830688,369.891,476.927,0.496694,309.847,465.165,0.349086,261.552,476.893,0.236735,0,0,0,0,0,0,362.037,457.31,0.268477,0,0,0,0,0,0,279.826,86.6519,0.917025,317.615,82.6918,0.917895,256.305,102.295,0.748204,342.435,97.0917,0.725959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.104,103.607,0.906172,304.617,230.19,0.714562,209.32,234.132,0.58383,192.369,382.954,0.801757,252.398,476.943,0.273183,399.907,226.316,0.619896,424.66,371.131,0.826969,371.141,476.926,0.504778,309.847,466.456,0.323837,261.537,476.899,0.22932,0,0,0,0,0,0,362.058,457.319,0.255741,0,0,0,0,0,0,279.822,86.6271,0.911125,317.614,82.6997,0.917531,256.28,101.033,0.743945,342.441,98.4166,0.728718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.116,103.596,0.906158,304.603,228.935,0.714012,209.314,235.405,0.588743,192.342,382.91,0.806532,252.393,476.943,0.242462,401.172,226.317,0.619719,424.7,369.876,0.836542,371.139,476.924,0.528569,311.115,467.78,0.316626,262.835,476.904,0.226026,0,0,0,0,0,0,363.323,467.758,0.254084,0,0,0,0,0,0,279.816,86.6295,0.912196,317.623,82.7056,0.918423,256.279,102.274,0.738743,342.425,99.7245,0.721329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.116,103.61,0.904506,304.614,230.189,0.71452,208.032,234.157,0.585769,192.342,382.892,0.800748,252.398,476.943,0.255218,401.209,227.575,0.610802,424.715,369.905,0.834961,371.162,476.923,0.530705,311.111,466.488,0.339055,262.822,476.901,0.233495,0,0,0,0,0,0,363.343,459.941,0.268301,0,0,0,0,0,0,279.829,86.6236,0.909664,317.616,82.707,0.917328,256.275,102.297,0.714712,342.422,99.6974,0.734747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.119,103.609,0.903265,304.613,228.935,0.718847,208.045,235.425,0.581333,192.37,384.197,0.795278,252.408,476.943,0.26463,401.184,226.331,0.614772,424.701,369.883,0.837537,371.157,476.923,0.528088,309.853,467.752,0.323278,261.557,476.904,0.221248,0,0,0,0,0,0,363.319,461.232,0.263279,0,0,0,0,0,0,279.83,86.6288,0.909756,317.622,82.7164,0.916282,255.054,102.299,0.722737,341.195,99.7109,0.721531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
