framenr,timecode,total_num_of_tracked_features,total_total_horizontal_velocity,total_total_vertical_velocity,total_length_sum_vvec,total_length_sum_avec,grosshead_num_of_tracked_features,grosshead_total_horizontal_velocity,grosshead_total_vertical_velocity,grosshead_length_sum_vvec,grosshead_length_sum_avec,grosslefthand_num_of_tracked_features,grosslefthand_total_horizontal_velocity,grosslefthand_total_vertical_velocity,grosslefthand_length_sum_vvec,grosslefthand_length_sum_avec,grossrighthand_num_of_tracked_features,grossrighthand_total_horizontal_velocity,grossrighthand_total_vertical_velocity,grossrighthand_length_sum_vvec,grossrighthand_length_sum_avec,nethead_num_of_tracked_features,nethead_total_horizontal_velocity,nethead_total_vertical_velocity,nethead_length_sum_vvec,nethead_length_sum_avec,netlefthand_num_of_tracked_features,netlefthand_total_horizontal_velocity,netlefthand_total_vertical_velocity,netlefthand_length_sum_vvec,netlefthand_length_sum_avec,netrighthand_num_of_tracked_features,netrighthand_total_horizontal_velocity,netrighthand_total_vertical_velocity,netrighthand_length_sum_vvec,netrighthand_length_sum_avec,overlapping_left_hand_head,overlapping_right_hand_head,overlapping_left_right_hand,head_x_velocity,head_y_velocity,head_velocity_magnitude,lefthand_x_velocity,lefthand_y_velocity,lefthand_velocity_magnitude,righthand_x_velocity,righthand_y_velocity,righthand_velocity_magnitude,orientation_head_theta,orientation_head_omega,orientation_lefthand_theta,orientation_lefthand_omega,orientation_righthand_theta,orientation_righthand_omega,lefthand_x_position,lefthand_y_position,righthand_x_position,righthand_y_position,nose_x_position,nose_y_position,lefthand_x_position_hum,lefthand_y_position_hum,righthand_x_position_hum,righthand_y_position_hum,nose_x_position_hum,nose_y_position_hum,lefthand_x_position_hand,lefthand_y_position_hand,righthand_x_position_hand,righthand_y_position_hand,handcenter_x_position_hum,handcenter_y_position_hum,leftshoulder_x_position,leftshoulder_y_position,rightshoulder_x_position,rightshoulder_y_position,neck_x_position,neck_y_position
0,0,180,0,0,0,0,179,0,0,0,0,1,0,0,0,0,1,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-0.024409174720688043,0.044348098588599782,0.050621750848516119,-14.473589914637671,-0.15195223122555035,14.474387534458089,-0.10561774791932521,0.22214969540721086,0.2459788524346487,1.6051840770650498,-0.0019462457490034835,2.0169484386933352,-0.5216873783743603,2.2896744026891551,0.41801895493607932,400.19717982927534,521.38723779578436,399.15904388469517,521.59926189094517,-1,-1,0.12387007398983337,1.0835344693872551,0.11999643240557897,1.084325604070691,-1.3731343283582089,-0.86567164179104472,0.0019368207921271891,-0.00039556734171797281,-0.0019368207921272029,0.00039556734171797281,0.12193325319770618,1.083930036728973,238,275,506,274,367,231
1,40,214,-6.7772674560546875,4.7127532958984375,8.2547802998565363,5.610834367527147,211,-6.6619415283203125,4.6997833251953125,8.1528785242111077,5.5900517594257346,3,-0.115325927734375,0.012969970703125,0.11605296096108106,0.036649819869474395,3,-0.115325927734375,0.012969970703125,0.11605296096108106,0.036649819869474395,211,-6.6619415283203125,4.6997833251953125,8.1528785242111077,5.5900517594257346,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15935634937591203,0.47362138633423001,0.49971158049376413,-12.671739108469978,0.43951783693478319,12.679359130575619,0.40547392669114402,0.52341710095265626,0.66209860806077703,1.6012915855670429,0.0059909351167644065,0.97357368194461458,0.24578945564622456,3.1257123125613138,-2.7107529109748718,371.25,521.08333333333326,398.94780838885652,522.04356128175959,-1,-1,0.015858208955223881,1.0824004975124375,0.11920824025692729,1.085983437618506,-1.3731343283582089,-0.86567164179104472,-0.051675015650851697,-0.0017914700530343719,0.051675015650851711,0.0017914700530341499,0.067533224606075581,1.0841919675654719,238,275,506,274,367,231
2,80,242,-6.8592376708984375,8.4133148193359375,10.855091325047889,3.9670935274133501,239,-6.5412445068359375,8.3058624267578125,10.572380543209675,4.0336018879043936,3,-0.3179931640625,0.107452392578125,0.33565707062602379,0.07689540751110302,3,-0.3179931640625,0.107452392578125,0.33565707062602379,0.07689540751110302,239,-6.5412445068359375,8.3058624267578125,10.572380543209675,4.0336018879043936,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.22671447974099124,0.10973021237815317,0.25187333092803399,13.03353604776467,0.61044984235093125,13.047823991700968,-2.0962499770337502,-0.70645387598870002,2.2120897461706783,1.6171659472985787,0.0055015140022501852,2.5085273499857843,-1.6307749351459038,-3.1318314192605889,-1.9474087891115439,374.85370161233539,522.26627346965392,399.96999173807745,522.64609609285048,-1,-1,0.029304856762445465,1.0868144532449773,0.12302235723163228,1.0882317018389944,-1.3731343283582089,-0.86567164179104472,-0.046858750234593412,-0.00070862429700846441,0.046858750234593405,0.00070862429700868645,0.076163606997038877,1.0875230775419857,238,275,506,274,367,231
3,120,261,-9.9204254150390625,11.73164176940918,15.363797024860069,11.370152817908522,258,-9.6967315673828125,11.60597038269043,15.123661977635106,11.330005842555268,3,-0.22369384765625,0.12567138671875,0.2565779314732099,0.087570135924499637,3,-0.22369384765625,0.12567138671875,0.2565779314732099,0.087570135924499637,258,-9.6967315673828125,11.60597038269043,15.123661977635106,11.330005842555268,0,0,0,0,0,0,0,0,0,0,0,0,2,0.13656472048540991,0.14704981607941647,0.20068276281297392,10.585270210676043,-1.2233512099614927,10.655727737509997,-3.587983312690568,-1.821461880588231,4.0238473672074093,1.6122946135715432,-0.0020450806226395279,-2.287976188347193,-1.416394181163583,-0.76910526566177428,2.3315296822027975,397.31707209552934,522.30423301803512,394.75530843478901,520.63065352978219,-1,-1,0.11312340334152739,1.0869560933508773,0.10356458371189931,1.0807113937678441,-1.3731343283582089,-0.86567164179104472,0.0047794098148140479,0.0031223497915167098,-0.004779409814814034,-0.0031223497915164877,0.10834399352671334,1.0838337435593606,238,275,506,274,367,231
4,160,280,-9.15106201171875,7.9127998352050781,12.097699664578531,20.617874008680296,278,-8.9596099853515625,7.7417182922363281,11.840980246835901,20.584270252794777,2,-0.1914520263671875,0.17108154296875,0.25675430423786572,0.056088917611751103,2,-0.1914520263671875,0.17108154296875,0.25675430423786572,0.056088917611751103,278,-8.9596099853515625,7.7417182922363281,11.840980246835901,20.584270252794777,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.19755939597868633,0.13425176325822008,0.23885822338241686,0.07842226736627822,-0.61726859646694265,0.62223032086449892,-1.8311732619667112,-0.32826532605440661,1.8603638460342673,1.6130757860532996,0.0054041719735500315,-0.32426101234138172,2.5533747432157861,1.5312279451450062,0.9337614815392965,396.02424203368747,519.81957104973094,392.79402511269632,519.00317233167402,-1,-1,0.10829941057346071,1.0776849666034736,0.09624636236080715,1.074638702730127,-1.3731343283582089,-0.86567164179104472,0.006026524106326786,0.0015231319366733054,-0.0060265241063267722,-0.0015231319366733054,0.10227288646713392,1.0761618346668003,238,275,506,274,367,231
5,200,287,-4.7735595703125,1.9925537109375,5.1727305422081349,5.4855176989859267,285,-4.5709991455078125,1.82159423828125,4.9205933338544243,5.4253763438492912,2,-0.2025604248046875,0.17095947265625,0.26506200593060963,0.078344513538293276,2,-0.2025604248046875,0.17095947265625,0.26506200593060963,0.078344513538293276,285,-4.5709991455078125,1.82159423828125,4.9205933338544243,5.4253763438492912,0,0,0,0,0,0,0,0,0,0,0,0,1,0.30997335560036277,0.068352689401635303,0.31742018103861225,0.65454564982289298,0.9652144751345304,1.1662199581173784,3.5694815448865995,1.5811138588854305,3.9039876452219469,1.6231029575186433,-0.0096835094765914675,2.8187732980843792,1.063869565352723,1.0984176974168187,-0.031053339782187273,397.4739166302619,521.06969582510123,391.09296191085559,519.97412287767338,-1,-1,0.11370864414276827,1.0823496112876911,0.089899111607670126,1.0782616525286319,-1.3731343283582089,-0.86567164179104472,0.011904766267549077,0.0020439793795297145,-0.011904766267549063,-0.0020439793795294925,0.10180387787521919,1.0803056319081614,238,275,506,274,367,231
6,240,296,-11.507949829101562,-1.0088100433349609,11.552082365212437,12.775899362012375,294,-11.257492065429688,-1.1652126312255859,11.3176343852936,12.745497119976392,2,-0.250457763671875,0.156402587890625,0.2952809863204901,0.03064627404785333,2,-0.250457763671875,0.156402587890625,0.2952809863204901,0.03064627404785333,294,-11.257492065429688,-1.1652126312255859,11.3176343852936,12.745497119976392,0,0,0,0,0,0,0,0,0,0,0,0,1,0.92281274758258292,0.68291994859863792,1.1480257067221458,-0.64412281955668504,-0.2453497719810116,0.6892682476980847,3.747769541650257,1.8591042522847374,4.1835445686862913,1.5937087671001167,-0.012378527217744129,1.8034781183640642,-1.5725932523849169,1.4691212655806316,-0.68806712533750358,397.33333333333326,521.75,399.93298820246952,522.16540004944488,-1,-1,0.11318407960198977,1.0848880597014925,0.12288428433757283,1.0864380598859884,-1.3731343283582089,-0.86567164179104472,-0.0048501023677915284,-0.00077500009224795718,0.0048501023677915284,0.00077500009224795718,0.1180341819697813,1.0856630597937404,238,275,506,274,367,231
7,280,301,-8.971038818359375,-5.0336170196533203,10.286731151393738,14.482176194019033,298,-8.7042999267578125,-5.2162647247314453,10.147623115460767,14.485915021796195,3,-0.2667388916015625,0.182647705078125,0.32327978666031043,0.079195132073682978,3,-0.2667388916015625,0.182647705078125,0.32327978666031043,0.079195132073682978,298,-8.7042999267578125,-5.2162647247314453,10.147623115460767,14.485915021796195,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.24046132784869201,0.35528279260412887,0.42900759073860756,-2.6102221896638298,-1.2712886222228121,2.9033488664655192,-0.77631054702655433,-0.76572649837629569,1.0904105354132869,1.5983459030831551,0.0021407996059745749,-0.32641320668545454,0.18834048125190528,-0.27771655325818845,-0.96377685314381334,396.18567099114853,520.57899628113921,398.58850099415611,523.69233138224286,-1,-1,0.10890175742965869,1.0805186428400717,0.11786754102297055,1.0921355648591151,-1.3731343283582089,-0.86567164179104472,-0.0044828917966559245,-0.0058084610095217037,0.0044828917966559384,0.0058084610095217037,0.11338464922631461,1.0863271038495934,238,275,506,274,367,231
8,320,306,-13.983413696289062,-1.5750770568847656,14.071841611412818,24.354859940741505,303,-13.507888793945312,-1.9288673400878906,13.644910732036728,24.273995376471312,3,-0.47552490234375,0.353790283203125,0.59269848762923327,0.095320735638125376,3,-0.47552490234375,0.353790283203125,0.59269848762923327,0.095320735638125376,303,-13.507888793945312,-1.9288673400878906,13.644910732036728,24.273995376471312,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.18986698765763776,0.45842753067182684,0.49619076359808867,0.91000008643803199,1.2266682637047666,1.5273556188712871,-1.3018503822704872,-0.39008205608342905,1.3590358451108231,1.5979903663120658,0.0013079252160967947,2.1801590808678748,-1.1843695453426308,-0.45843244070699518,1.4405637198633696,392.1128889540056,519.20742275555438,398.38036710841641,520.63394705269229,-1,-1,0.093704809529871633,1.0754008311774417,0.11709092204632988,1.0807236830324338,-1.3731343283582089,-0.86567164179104472,-0.011693056258229126,-0.002661425927496186,0.011693056258229126,0.002661425927495964,0.10539786578810076,1.0780622571049379,238,275,506,274,367,231
9,360,318,-20.361801147460938,1.4770908355712891,20.415306593467321,11.837699424778314,315,-20.0069580078125,1.2146701812744141,20.043796855277943,11.538074808646581,3,-0.3548431396484375,0.262420654296875,0.4413368934919904,0.36178036817878301,3,-0.3548431396484375,0.262420654296875,0.4413368934919904,0.36178036817878301,315,-20.0069580078125,1.2146701812744141,20.043796855277943,11.538074808646581,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.3254809371216254,-0.36330752089379814,0.48778088848126167,1.0421265841004583,1.6660211923048678,1.9651092668088008,-0.69241804774407001,0.6810845670572121,0.97124607609257263,1.6009617535153486,0.00080792062207468707,-2.6951522973707163,-1.1655680027797732,2.6034108864685508,-0.45368340193008433,398.00567116402459,523.03233280854874,395.98480022961513,522.912167270076,-1,-1,0.11569280285083802,1.0896728836139877,0.10815223966274302,1.0892245047390896,-1.3731343283582089,-0.86567164179104472,0.0037702815940474921,0.00022418943744906272,-0.003770281594047506,-0.00022418943744906272,0.11192252125679053,1.0894486941765387,238,275,506,274,367,231
10,400,324,-19.186309814453125,-1.1000423431396484,19.217819268920199,9.9539951850138948,321,-18.99371337890625,-1.2684383392333984,19.036020690797734,9.9227706639259541,3,-0.192596435546875,0.16839599609375,0.2558331457918771,0.040568870502646161,3,-0.192596435546875,0.16839599609375,0.2558331457918771,0.040568870502646161,321,-18.99371337890625,-1.2684383392333984,19.036020690797734,9.9227706639259541,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.10561898245634893,-3.0082001996885026,3.010053788698976,-2.6188527818474086,-1.6820646434652531,3.1125120654843732,-0.70408442940245664,-1.2039223226161084,1.3946913072864362,1.5996062075562152,-0.0092124333880039266,-0.15097692469167151,2.9023362309030354,-1.3657992445671638,-1.435377845043176,394.19714212220651,522.53946514016411,396.99553101292827,521.99611618680672,-1,-1,0.10148187359032282,1.087833825149866,0.11192362318256817,1.0858064036821147,-1.3731343283582089,-0.86567164179104472,-0.005220874796122682,0.0010137107338756834,0.0052208747961226681,-0.0010137107338756834,0.1067027483864455,1.0868201144159904,238,275,506,274,367,231
11,440,332,-20.858978271484375,-7.1331672668457031,22.044932519448913,6.9127625739226017,329,-20.697296142578125,-7.2684516906738281,21.936464108721772,6.8451008452165061,3,-0.16168212890625,0.135284423828125,0.21081505197249317,0.072339200892275773,3,-0.16168212890625,0.135284423828125,0.21081505197249317,0.072339200892275773,329,-20.697296142578125,-7.2684516906738281,21.936464108721772,6.8451008452165061,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0720985288585609,0.51060007793049067,1.1874795556822499,0.67329140565823309,-0.24576652111329622,0.7167443755156867,-0.96333709421634239,-0.30725078053336574,1.0111485544822525,1.5825368867393408,-0.0033668696977767754,3.1095201644353549,-0.030588133067962153,-0.26734480361780105,0.65697736303718968,392.76796560032977,519.66820352161824,394.57663137081022,520.50432262484378,-1,-1,0.096149125374364819,1.0771201623940978,0.10289787824929186,1.0802400097941931,-1.3731343283582089,-0.86567164179104472,-0.0033743764374635221,-0.0015599237000476496,0.0033743764374635221,0.0015599237000476496,0.099523501811828341,1.0786800860941455,238,275,506,274,367,231
12,480,337,-23.25750732421875,-6.9987201690673828,24.287727990509929,9.971552417538069,334,-23.032211303710938,-7.2022418975830078,24.132033604528441,9.7212158224661529,3,-0.2252960205078125,0.203521728515625,0.30361059078142255,0.25371380628882995,3,-0.2252960205078125,0.203521728515625,0.30361059078142255,0.25371380628882995,334,-23.032211303710938,-7.2022418975830078,24.132033604528441,9.7212158224661529,0,0,0,0,0,0,0,0,0,0,0,0,19,0.27265136186767336,2.6666768999542683,2.6805791265840306,3.5236835059071154,1.3605065934963818,3.7772110929558851,0.12835098126151934,1.8311720209113673,1.8356647146359315,1.5928724681606616,-0.00078218415394593066,-0.21215319082759582,-2.2933517487389987,-0.051844518492784396,0.4546563703825135,395.54372493352298,522.04793209793752,395.06885682449558,521.38161462573999,-1,-1,0.10650643631911559,1.0859997466340952,0.10473454038990888,1.0835134874094776,-1.3731343283582089,-0.86567164179104472,0.00088594796460335357,0.0012431296123087687,-0.00088594796460335357,-0.0012431296123087687,0.10562048835451224,1.0847566170217864,238,275,506,274,367,231
13,520,337,-18.1651611328125,-6.0244636535644531,19.138109658327309,20.614912390680541,334,-17.905731201171875,-6.2253913879394531,18.957075401592164,20.467047676989189,3,-0.259429931640625,0.200927734375,0.32813997603481643,0.20996182463702479,3,-0.259429931640625,0.200927734375,0.32813997603481643,0.20996182463702479,334,-17.905731201171875,-6.2253913879394531,18.957075401592164,20.467047676989189,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.57910220384135869,-0.18803594950369984,0.60886524026230671,0.45259055559182571,-0.66409646686031465,0.80365560304602524,-1.5344284122477632,-1.5241406462034206,2.1627471562165033,1.5809725184314489,0.0021694716769139477,-1.4771833330426427,-1.4569993364554927,0.641967937147226,-1.146089247094912,399.815332612144,522.389216708611,394.83333333333326,524.16666666666652,-1,-1,0.12244527094083583,1.0872731966739215,0.10385572139303455,1.0939054726368154,-1.3731343283582089,-0.86567164179104472,0.0092947747739006437,-0.0033161379814468095,-0.0092947747739006437,0.0033161379814470315,0.11315049616693519,1.0905893346553683,238,275,506,274,367,231
14,560,346,-11.632339477539062,-6.2537040710449219,13.206821583140949,7.5083668761647688,343,-11.363998413085938,-6.4184684753417969,13.051329338484113,7.34289056461561,3,-0.268341064453125,0.164764404296875,0.31488765583163192,0.17300632251365761,3,-0.268341064453125,0.164764404296875,0.31488765583163192,0.17300632251365761,343,-11.363998413085938,-6.4184684753417969,13.051329338484113,7.34289056461561,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.75916423709904279,-1.1617958450632955,1.3878400212187674,-4.3774613455292695,-1.472132926949314,4.6183701872209504,-1.2083333333333428,-0.041666666666685614,1.2090515107122526,1.5972114115144895,0.011884839959217741,-3.1261518637385812,0.52990195168622911,-2.3440230126826083,-0.88458408059287574,396.44890604470663,520.71973916421689,392.00000000000006,518.33333333333314,-1,-1,0.1098839777787561,1.0810438028515554,0.093283582089552453,1.0721393034825863,-1.3731343283582089,-0.86567164179104472,0.0083001978446018282,0.0044522496844845438,-0.0083001978446018143,-0.0044522496844845438,0.10158377993415427,1.0765915531670709,238,275,506,274,367,231
15,600,358,-9.2819366455078125,-5.9020862579345703,10.999498628906725,12.536694042382193,355,-9.0579681396484375,-6.0638904571533203,10.900346521796511,12.292786756355737,3,-0.223968505859375,0.16180419921875,0.2763014486058693,0.25410515257097399,3,-0.223968505859375,0.16180419921875,0.2763014486058693,0.25410515257097399,355,-9.0579681396484375,-6.0638904571533203,10.900346521796511,12.292786756355737,0,0,0,0,0,0,0,0,0,0,0,0,1,0.53155687837499954,0.31406081880989234,0.61740336317460576,-3.4700282167057424,2.1380873435786043,4.07584510420907,-0.16928513445341764,2.7434147723603814,2.748632763748565,1.6047421983498844,0.0043017374450950996,-0.4173794296701846,2.9928184027130147,-1.1272002240385255,0.36317346921818494,391.06040992108547,519.44495085471237,392.41666666666657,524.08333333333314,-1,-1,0.08977764895927412,1.0762871300548968,0.094838308457711087,1.0935945273631833,-1.3731343283582089,-0.86567164179104472,-0.0025303297492184906,-0.008653698654143227,0.0025303297492184768,0.008653698654143227,0.092307978708492611,1.0849408287090401,238,275,506,274,367,231
16,640,363,-4.0744476318359375,-8.0232486724853516,8.9985355900341606,3.5063388453510198,360,-3.954010009765625,-8.1520633697509766,9.0603715344218863,3.5160792575936735,3,-0.1204376220703125,0.128814697265625,0.17634751782088129,0.043886993706134296,3,-0.1204376220703125,0.128814697265625,0.17634751782088129,0.043886993706134296,360,-3.954010009765625,-8.1520633697509766,9.0603715344218863,3.5160792575936735,0,0,0,0,0,0,0,0,0,0,0,0,6,0.31535469917704972,0.80611359701988761,0.86560251709048841,4.4719708184247793,1.3739136926066635,4.6782648317057545,3.3333333333333712,-0.54166666666657193,3.377056986325377,1.6058148864046797,-0.0004027178737631143,2.8594849416874482,-0.67131033496984505,-1.6176760742462384,0.19228042302773846,389.50884961129515,524.9959138513741,391.66142973109322,523.82016287805391,-1,-1,0.083988244818265473,1.0969996785499034,0.092020260190646352,1.09261254805244,-1.3731343283582089,-0.86567164179104472,-0.0040160076861904398,0.0021935652487317103,0.0040160076861904398,-0.0021935652487317103,0.088004252504455913,1.0948061133011717,238,275,506,274,367,231
