"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
360.797,119.535,0.881476,362.371,232.407,0.787119,284.013,238.581,0.691308,269.893,382.701,0.736754,321.623,497.073,0.675259,442.262,230.792,0.741175,462.609,378.028,0.705573,396.801,483.032,0.733787,363.921,504.877,0.4637,316.942,506.46,0.461222,0,0,0,0,0,0,415.575,501.773,0.408553,0,0,0,0,0,0,343.596,106.965,0.948124,379.565,105.452,0.907677,320.003,130.481,0.940739,399.951,127.381,0.833732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.792,119.538,0.881543,362.374,233.881,0.785621,284.021,238.596,0.692103,269.914,382.723,0.738367,321.63,497.089,0.672998,442.263,230.803,0.7415,462.596,379.529,0.714172,398.377,483.021,0.737914,365.46,504.899,0.469904,316.942,506.484,0.459946,0,0,0,0,0,0,415.593,503.33,0.421551,0,0,0,0,0,0,343.593,106.975,0.950308,379.558,105.454,0.907835,320.001,130.481,0.943967,399.953,127.402,0.840424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.79,119.549,0.879431,362.352,233.883,0.783678,284.018,238.595,0.693291,269.89,382.746,0.746788,321.633,497.095,0.673283,442.251,230.802,0.740211,462.589,378.032,0.709213,396.818,482.98,0.733452,365.457,504.878,0.480351,318.421,506.444,0.47116,0,0,0,0,0,0,415.626,503.335,0.427185,0,0,0,0,0,0,343.592,106.989,0.948949,379.561,105.476,0.907644,320.006,130.482,0.943435,399.965,127.394,0.836076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.781,119.549,0.88104,362.355,233.878,0.788945,284.005,237.059,0.698369,269.877,382.719,0.744581,321.626,497.094,0.675978,442.247,230.825,0.736498,462.61,378.027,0.712863,396.802,483.005,0.733376,363.937,506.432,0.476371,316.94,508.024,0.468064,0,0,0,0,0,0,415.577,504.878,0.422023,0,0,0,0,0,0,343.591,106.991,0.947974,379.547,105.471,0.903329,320.005,130.484,0.943747,399.948,127.393,0.837174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.792,119.564,0.87592,362.347,233.884,0.786044,284.009,238.596,0.6956,269.874,382.713,0.744468,321.63,497.104,0.675622,442.251,230.803,0.741029,462.594,378.03,0.708683,396.8,482.993,0.719733,365.459,503.342,0.476584,318.442,506.442,0.474433,0,0,0,0,0,0,415.579,503.313,0.433915,0,0,0,0,0,0,343.589,106.982,0.95014,379.563,105.48,0.906571,319.993,130.477,0.942979,399.952,127.398,0.83712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.796,119.569,0.875735,362.359,233.874,0.78339,284.001,238.603,0.696035,269.88,382.716,0.735287,321.617,497.123,0.672819,442.26,230.821,0.737085,461.061,379.554,0.712905,396.792,483.02,0.735172,363.913,504.889,0.481228,316.944,506.464,0.478647,0,0,0,0,0,0,414.048,503.327,0.426607,0,0,0,0,0,0,343.592,106.993,0.950441,379.563,105.481,0.906115,319.992,130.478,0.943745,399.938,127.403,0.838187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.776,119.567,0.87832,362.372,233.872,0.786289,284.012,238.575,0.695855,269.899,382.741,0.744958,320.13,497.065,0.689506,442.257,230.806,0.737816,462.577,379.548,0.713673,395.29,483.01,0.734363,363.913,506.471,0.476049,316.898,508.03,0.468148,0,0,0,0,0,0,415.593,506.468,0.43086,0,0,0,0,0,0,343.592,106.993,0.947202,379.549,105.484,0.902399,319.993,130.481,0.943499,399.949,127.392,0.836679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.78,119.559,0.879151,362.366,232.4,0.794197,284.004,237.049,0.696999,269.885,382.743,0.73881,320.124,497.068,0.681842,442.25,230.803,0.739118,462.582,378.021,0.706672,395.307,483,0.727023,363.913,506.445,0.470159,316.898,508.008,0.458405,0,0,0,0,0,0,415.577,504.885,0.424789,0,0,0,0,0,0,343.581,106.993,0.946745,379.543,105.482,0.904494,319.99,130.475,0.941435,399.929,127.399,0.839234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.776,119.564,0.879954,362.341,232.412,0.791907,282.52,237.06,0.701003,269.897,384.258,0.731602,320.133,497.08,0.680115,442.248,230.814,0.738614,462.576,378.024,0.697459,395.258,483.022,0.718292,363.918,506.471,0.472623,316.916,508.031,0.456766,0,0,0,0,0,0,414.061,504.908,0.416348,0,0,0,0,0,0,343.577,106.998,0.946266,379.524,105.469,0.89929,319.99,130.475,0.942334,399.948,127.384,0.836788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.759,119.558,0.877612,362.338,233.881,0.785446,282.509,238.592,0.701717,269.9,382.743,0.733776,320.128,497.067,0.677508,442.242,230.825,0.736766,462.583,378.005,0.694143,396.815,483.003,0.728398,363.928,504.891,0.462493,316.943,506.471,0.456949,0,0,0,0,0,0,414.057,501.764,0.415457,0,0,0,0,0,0,343.588,106.997,0.946624,378.007,105.44,0.884431,318.556,130.461,0.935765,399.939,127.383,0.835129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
