"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
365.445,121.106,0.844311,367.032,237.05,0.78224,287.142,243.233,0.704573,271.536,381.146,0.702174,326.312,504.897,0.68399,443.823,232.364,0.72072,465.716,381.137,0.6751,395.255,493.916,0.6833,368.615,490.793,0.538316,320.057,492.337,0.526486,0,0,0,0,0,0,417.16,487.653,0.502124,0,0,0,0,0,0,345.079,107.07,0.941742,381.057,106.975,0.928012,318.531,130.518,0.951074,399.96,127.381,0.831198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.924,121.087,0.843964,367.034,238.583,0.781523,287.153,243.246,0.707539,271.534,382.701,0.696298,324.779,504.865,0.678231,443.821,232.372,0.720474,465.705,381.168,0.692495,395.282,493.891,0.665361,368.586,493.929,0.543744,320.025,493.948,0.528831,0,0,0,0,0,0,417.177,492.342,0.500896,0,0,0,0,0,0,345.082,107.074,0.93601,379.587,106.974,0.913753,318.536,130.52,0.951672,399.972,127.38,0.82941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.933,119.642,0.848103,367.063,237.047,0.788055,287.179,243.238,0.702312,271.525,382.738,0.69631,327.845,504.903,0.690188,443.827,232.351,0.729344,465.741,381.143,0.686305,395.31,493.9,0.687183,368.628,493.895,0.558962,320.08,493.928,0.539355,0,0,0,0,0,0,417.154,489.238,0.507026,0,0,0,0,0,0,345.094,107.084,0.933404,379.605,106.976,0.91929,318.539,130.524,0.954103,399.964,128.887,0.836617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.917,119.642,0.844799,367.043,237.038,0.785337,287.158,243.236,0.701165,273.047,382.744,0.683316,326.324,504.904,0.685192,443.818,232.357,0.724114,465.74,378.027,0.653539,396.787,493.921,0.687034,368.604,490.788,0.543648,320.077,492.346,0.53102,0,0,0,0,0,0,415.618,486.11,0.487919,0,0,0,0,0,0,345.085,107.074,0.93517,379.589,106.962,0.919736,318.532,130.512,0.951168,399.971,127.372,0.828538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.93,119.642,0.845232,367.035,237.018,0.784959,287.152,243.231,0.706892,271.533,381.131,0.689689,326.312,504.863,0.671538,443.815,232.348,0.723249,465.747,379.56,0.675088,395.3,493.92,0.700818,368.593,489.242,0.548901,320.063,490.809,0.543266,0,0,0,0,0,0,415.599,486.102,0.488794,0,0,0,0,0,0,345.093,107.072,0.93557,379.598,106.966,0.922587,318.536,130.517,0.951223,401.482,127.375,0.828808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.929,119.638,0.849178,367.039,237.036,0.784492,287.15,243.225,0.705031,271.555,382.674,0.673109,326.31,504.885,0.673671,443.81,232.353,0.722738,465.727,381.114,0.680992,395.284,493.949,0.707426,368.604,493.884,0.56099,320.057,493.91,0.542707,0,0,0,0,0,0,417.161,490.779,0.498683,0,0,0,0,0,0,345.071,107.082,0.939199,379.599,106.966,0.923366,318.533,130.525,0.951265,401.481,127.387,0.830219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.927,119.635,0.849962,367.049,237.046,0.786647,287.16,243.228,0.706394,271.551,382.712,0.699668,326.3,504.874,0.677239,443.825,232.366,0.72322,465.745,379.568,0.670232,395.284,493.914,0.701607,368.606,490.816,0.54957,320.069,492.348,0.541644,0,0,0,0,0,0,417.125,487.659,0.490327,0,0,0,0,0,0,345.076,107.069,0.944642,379.6,106.968,0.923594,318.524,130.523,0.949886,399.973,127.374,0.828427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365.442,119.642,0.847453,367.055,237.055,0.790623,287.17,243.241,0.708343,273.043,382.696,0.686712,324.754,503.332,0.66386,443.837,232.35,0.730521,465.727,379.596,0.671236,395.311,493.906,0.684444,368.618,490.787,0.54809,320.07,492.339,0.536612,0,0,0,0,0,0,417.155,487.65,0.494032,0,0,0,0,0,0,345.091,107.077,0.940619,379.609,106.968,0.922801,318.531,130.523,0.951704,399.972,127.387,0.830094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.936,119.632,0.849596,367.058,237.042,0.792,287.171,243.231,0.704359,271.546,382.723,0.706166,324.753,503.347,0.662969,443.827,232.351,0.727559,465.733,381.105,0.684734,395.279,493.927,0.67929,368.626,492.335,0.545086,320.082,492.353,0.530826,0,0,0,0,0,0,417.153,487.665,0.493183,0,0,0,0,0,0,345.095,107.072,0.940531,379.611,106.979,0.923415,318.531,130.523,0.949699,399.972,127.384,0.828208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.939,119.624,0.856509,367.051,237.063,0.785916,287.184,243.235,0.704998,273.058,382.749,0.697621,324.759,503.353,0.663199,443.824,232.369,0.723415,465.75,381.155,0.681511,395.3,493.934,0.692066,368.603,492.376,0.548818,320.052,493.893,0.532425,0,0,0,0,0,0,417.156,489.23,0.499301,0,0,0,0,0,0,345.093,107.072,0.940711,379.611,106.967,0.925546,318.54,130.529,0.952159,399.965,127.399,0.832076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.933,121.088,0.849035,367.057,238.571,0.787437,287.159,243.24,0.705722,273.039,382.715,0.701629,326.31,504.867,0.674805,443.854,232.364,0.726873,465.734,381.145,0.693799,395.316,493.927,0.699505,368.619,490.811,0.546889,320.065,492.346,0.529385,0,0,0,0,0,0,417.142,487.653,0.497257,0,0,0,0,0,0,345.077,107.077,0.94126,379.607,106.962,0.924811,318.541,130.519,0.950434,401.482,127.383,0.830544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.944,119.635,0.852913,367.073,238.575,0.790533,287.176,243.24,0.703033,273.07,382.723,0.689584,326.288,504.871,0.669715,443.849,232.376,0.724953,465.74,381.137,0.684488,395.287,493.945,0.704271,368.627,492.37,0.550503,320.089,493.898,0.531677,0,0,0,0,0,0,417.167,489.226,0.497424,0,0,0,0,0,0,345.081,107.078,0.941891,381.055,106.974,0.928263,318.535,130.527,0.949685,399.96,127.398,0.834651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.93,121.098,0.843664,367.068,238.585,0.792305,287.157,243.251,0.709694,273.085,382.766,0.692361,326.306,504.87,0.670582,445.32,232.376,0.724976,465.745,381.115,0.673313,396.797,493.896,0.694269,368.626,490.805,0.559893,320.085,492.348,0.539656,0,0,0,0,0,0,417.138,487.659,0.504339,0,0,0,0,0,0,345.082,107.083,0.93863,379.602,106.971,0.921867,318.54,130.542,0.949019,399.962,127.396,0.834312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.946,121.087,0.84689,367.064,237.029,0.788739,287.163,243.223,0.701073,273.066,382.725,0.689056,326.315,504.845,0.665137,443.831,232.359,0.723406,465.733,381.161,0.687871,395.3,493.933,0.707346,368.595,492.342,0.549959,320.074,492.369,0.526611,0,0,0,0,0,0,415.616,487.682,0.491025,0,0,0,0,0,0,345.09,107.076,0.940469,381.059,106.971,0.925951,318.539,130.529,0.948892,399.96,127.399,0.833476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365.446,119.64,0.852514,368.54,237.062,0.795439,287.176,243.231,0.703574,273.04,384.283,0.69178,326.314,504.9,0.683082,445.321,232.386,0.722773,465.702,381.149,0.679558,395.258,493.974,0.708515,368.634,492.346,0.555548,320.1,492.364,0.537775,0,0,0,0,0,0,417.163,489.218,0.507959,0,0,0,0,0,0,345.092,107.086,0.939818,381.056,106.973,0.926623,318.539,130.533,0.950756,399.956,127.396,0.834536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365.441,119.63,0.852218,367.04,238.573,0.779695,287.169,243.237,0.702206,271.545,382.752,0.705477,327.849,504.885,0.678528,443.827,232.38,0.71988,465.753,381.143,0.693374,396.79,493.906,0.694983,368.625,490.789,0.548635,320.082,492.346,0.54101,0,0,0,0,0,0,415.615,486.105,0.493486,0,0,0,0,0,0,345.107,107.076,0.936631,381.066,106.979,0.930594,318.55,130.526,0.950113,399.975,127.389,0.829403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365.456,119.636,0.857223,367.031,235.506,0.782105,287.157,241.753,0.704581,273.057,382.772,0.696602,326.308,503.314,0.666254,443.81,232.349,0.724851,465.751,381.106,0.696565,396.807,493.879,0.681027,368.611,490.812,0.542345,320.076,492.343,0.526555,0,0,0,0,0,0,415.625,486.117,0.487309,0,0,0,0,0,0,345.097,107.082,0.938426,381.083,106.988,0.936002,318.539,130.523,0.953255,399.973,127.404,0.834539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.943,119.618,0.858115,367.054,238.581,0.78747,287.149,243.23,0.703085,271.517,385.869,0.688657,323.178,497.099,0.68964,443.851,232.38,0.724385,467.246,381.146,0.697677,401.489,490.78,0.687991,368.575,492.339,0.542948,320.008,492.365,0.520796,0,0,0,0,0,0,417.142,486.118,0.494806,0,0,0,0,0,0,345.09,107.06,0.945556,381.061,106.948,0.927187,318.537,130.548,0.952245,401.481,127.39,0.828284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.918,119.578,0.869354,367.038,237.063,0.777708,285.631,243.233,0.704373,269.876,382.718,0.744923,320.056,493.98,0.746852,443.839,232.378,0.720227,467.309,379.576,0.705184,403.099,486.111,0.671203,368.596,490.812,0.510757,320.025,490.811,0.477396,0,0,0,0,0,0,417.182,487.659,0.470575,0,0,0,0,0,0,345.083,107.013,0.950787,381.057,105.485,0.925665,318.542,130.533,0.954064,401.48,127.392,0.828675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
