framenr,timecode,total_num_of_tracked_features,total_total_horizontal_velocity,total_total_vertical_velocity,total_length_sum_vvec,total_length_sum_avec,grosshead_num_of_tracked_features,grosshead_total_horizontal_velocity,grosshead_total_vertical_velocity,grosshead_length_sum_vvec,grosshead_length_sum_avec,grosslefthand_num_of_tracked_features,grosslefthand_total_horizontal_velocity,grosslefthand_total_vertical_velocity,grosslefthand_length_sum_vvec,grosslefthand_length_sum_avec,grossrighthand_num_of_tracked_features,grossrighthand_total_horizontal_velocity,grossrighthand_total_vertical_velocity,grossrighthand_length_sum_vvec,grossrighthand_length_sum_avec,nethead_num_of_tracked_features,nethead_total_horizontal_velocity,nethead_total_vertical_velocity,nethead_length_sum_vvec,nethead_length_sum_avec,netlefthand_num_of_tracked_features,netlefthand_total_horizontal_velocity,netlefthand_total_vertical_velocity,netlefthand_length_sum_vvec,netlefthand_length_sum_avec,netrighthand_num_of_tracked_features,netrighthand_total_horizontal_velocity,netrighthand_total_vertical_velocity,netrighthand_length_sum_vvec,netrighthand_length_sum_avec,overlapping_left_hand_head,overlapping_right_hand_head,overlapping_left_right_hand,head_x_velocity,head_y_velocity,head_velocity_magnitude,lefthand_x_velocity,lefthand_y_velocity,lefthand_velocity_magnitude,righthand_x_velocity,righthand_y_velocity,righthand_velocity_magnitude,orientation_head_theta,orientation_head_omega,orientation_lefthand_theta,orientation_lefthand_omega,orientation_righthand_theta,orientation_righthand_omega,lefthand_x_position,lefthand_y_position,righthand_x_position,righthand_y_position,nose_x_position,nose_y_position,lefthand_x_position_hum,lefthand_y_position_hum,righthand_x_position_hum,righthand_y_position_hum,nose_x_position_hum,nose_y_position_hum,lefthand_x_position_hand,lefthand_y_position_hand,righthand_x_position_hand,righthand_y_position_hand,handcenter_x_position_hum,handcenter_y_position_hum,leftshoulder_x_position,leftshoulder_y_position,rightshoulder_x_position,rightshoulder_y_position,neck_x_position,neck_y_position
0,0,187,0,0,0,0,187,0,0,0,0,187,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3264,2342,2815,0.70808785893018467,-7.5996123210236632,7.6325287975754801,-0.24450846378451274,-0.5711277184776975,0.6212658526555298,-7.0506515313217051,-4.0201504018601213,8.1162365829062182,2.6165608042898301,-0.061058935267654935,1.9965950803168997,0.019553875950051425,1.5862190944142338,-0.070104137682361234,352.42036796294133,155.8078954015528,386.89849074028359,155.61945915113154,-1,-1,-0.054401612078577133,-0.28056755447181791,0.074248099777177584,-0.2812706748092107,-1.3731343283582089,-0.86567164179104472,-0.064324855927877359,0.00035156016869641871,0.064324855927877359,-0.0003515601686963632,0.0099232438493002256,-0.28091911464051433,238,275,506,274,367,231
1,40,219,-3.7737884521484375,-0.77023887634277344,3.8515902181045529,5.992636314020813,219,-3.7737884521484375,-0.77023887634277344,3.8515902181045529,5.992636314020813,219,-3.7737884521484375,-0.77023887634277344,3.8515902181045529,5.992636314020813,219,-3.7737884521484375,-0.77023887634277344,3.8515902181045529,5.992636314020813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3520,2902,2750,0.30011888704567014,-6.7448545823024801,6.751528322000012,-0.58828157752407151,-0.60939969697525953,0.84702019168833764,-6.7922884695395851,-3.3146350461234988,7.5579089795015744,2.4944429337545202,-0.0480653166350824,2.0357028322170025,0.013085944562980178,1.4460108190495113,-0.075843599760297198,351.9313510353723,154.6656399645974,372.79718767764018,147.57915834741129,-1,-1,-0.056226302106819767,-0.28482970162463656,0.021631297304627543,-0.31127179721115189,-1.3731343283582089,-0.86567164179104472,-0.038928799705723653,0.013221047793257668,0.03892879970572366,-0.013221047793257668,-0.017297502401096114,-0.29805074941789422,238,275,506,274,367,231
2,80,237,-4.3015899658203125,0.36148643493652344,4.3167520981276093,7.6125384951373611,237,-4.3015899658203125,0.36148643493652344,4.3167520981276093,7.6125384951373611,237,-4.3015899658203125,0.36148643493652344,4.3167520981276093,7.6125384951373611,237,-4.3015899658203125,0.36148643493652344,4.3167520981276093,7.6125384951373611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3494,2814,2749,-0.23787606769022318,8.0902605708582556,8.0937569229600346,-0.68763613937287005,0.35522266327943441,0.7739680876360211,-1.0232165147345427,-0.26364805940761471,1.0566372770515462,2.5204301710196653,0.053029665366871814,2.0227669694428601,0.0048658990905046107,1.4345318948936394,0.003286659087662902,351.24380480789318,154.58909600760228,373.31391380120442,148.99018905888454,-1,-1,-0.058791773104876176,-0.28511531340446911,0.023559379855240377,-0.30600675724296811,-1.3731343283582089,-0.86567164179104472,-0.041175576480058276,0.010445721919249473,0.041175576480058276,-0.010445721919249529,-0.017616196624817899,-0.29556103532371858,238,275,506,274,367,231
3,120,259,-7.5676727294921875,0.45920372009277344,7.5815920885554622,3.9232619445277033,259,-7.5676727294921875,0.45920372009277344,7.5815920885554622,3.9232619445277033,259,-7.5676727294921875,0.45920372009277344,7.5815920885554622,3.9232619445277033,259,-7.5676727294921875,0.45920372009277344,7.5815920885554622,3.9232619445277033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192,2833,2816,1.2610509381181316,-0.97133211929453722,1.5917712004248088,-0.99033350927766151,-0.18875608787550391,1.0081613562859235,-0.78899191867824925,-0.95209418136782631,1.2365239900358005,2.6005022644882638,-0.0038375092183586812,2.0454346303980118,-0.0041000691970740633,1.4525841372248371,0.024490835661810428,350.55607875662656,155.37608529115627,370.7507546481711,147.05186222859606,-1,-1,-0.061357915087214318,-0.28217878622702885,0.013995353164817523,-0.31323932004255201,-1.3731343283582089,-0.86567164179104472,-0.03767663412601592,0.015530266907761603,0.03767663412601592,-0.015530266907761547,-0.023681280961198398,-0.29770905313479046,238,275,506,274,367,231
4,160,275,-5.5681915283203125,-2.5258922576904297,6.1143183261520297,4.3807258806976037,275,-5.5681915283203125,-2.5258922576904297,6.1143183261520297,4.3807258806976037,275,-5.5681915283203125,-2.5258922576904297,6.1143183261520297,4.3807258806976037,275,-5.5681915283203125,-2.5258922576904297,6.1143183261520297,4.3807258806976037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3656,2954,2791,1.1711515909835839,-8.2754068681636994,8.357867843099358,0.5332796282509662,-0.45904985599116799,0.70364332739890367,1.887317546245896,0.82689966424740646,2.0605170649863842,2.5127551525829479,-0.049950026271225356,2.0145668310487119,-0.017116125356952727,1.4835135662172603,-0.00052305440187239149,349.26313778933786,154.21158383185127,371.73592996384792,147.08600069614889,-1,-1,-0.066182321681575146,-0.28652394092592809,0.017671380462119114,-0.31311193770093698,-1.3731343283582089,-0.86567164179104472,-0.041926851071847127,0.013293998387504447,0.041926851071847127,-0.013293998387504447,-0.024255470609728016,-0.29981793931343254,238,275,506,274,367,231
5,200,288,-3.8948822021484375,-4.2104892730712891,5.7357063459752764,0.38564434145994969,288,-3.8948822021484375,-4.2104892730712891,5.7357063459752764,0.38564434145994969,288,-3.8948822021484375,-4.2104892730712891,5.7357063459752764,0.38564434145994969,288,-3.8948822021484375,-4.2104892730712891,5.7357063459752764,0.38564434145994969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623,2930,2949,0.91174321165846095,-1.2756125050846947,1.5679486430153684,1.8039074134146915,0.47221622935508378,1.8646903559140364,5.6595554444137122,3.4760614335449134,6.6418047937417741,2.5006022119458131,-0.052267672535633691,2.0112023796841063,0.0015568457685981585,1.4515380284210924,0.1032699670503483,351.62263801312849,154.45798557917394,374.52538974066289,148.70566155709088,-1,-1,-0.057378216368923526,-0.28560453142099279,0.028079812465160028,-0.3070684270257803,-1.3731343283582089,-0.86567164179104472,-0.042729014417041779,0.010731947802393782,0.042729014417041779,-0.010731947802393726,-0.014649201951881749,-0.29633647922338657,238,275,506,274,367,231
6,240,304,-13.285324096679688,-6.8617458343505859,14.952705181640063,18.781956251900983,304,-13.285324096679688,-6.8617458343505859,14.952705181640063,18.781956251900983,304,-13.285324096679688,-6.8617458343505859,14.952705181640063,18.781956251900983,304,-13.285324096679688,-6.8617458343505859,14.952705181640063,18.781956251900983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3782,2593,2537,-0.29408255179080811,-0.71462371200396291,0.77276878626541079,-0.69861895204283542,-0.077316858334100402,0.70288429825689303,4.860213489173816,1.1973094075687953,5.0055194513456707,2.4082198075116805,-0.015894168367899475,2.0176805225859082,-0.0038408369198514869,1.6900535003179569,-0.036319452593492341,352.87095261616724,155.15601629056144,383.05504085267535,154.03812356323871,-1,-1,-0.052720326059077442,-0.28299993921432298,0.059906868853266217,-0.28717118073418391,-1.3731343283582089,-0.86567164179104472,-0.056313597456171829,0.0020856207599304621,0.056313597456171829,-0.0020856207599304621,0.0035932713970943872,-0.28508555997425344,238,275,506,274,367,231
7,280,314,-18.384796142578125,-8.1958351135253906,20.128895707719568,11.000187866986787,314,-18.384796142578125,-8.1958351135253906,20.128895707719568,11.000187866986787,314,-18.384796142578125,-8.1958351135253906,20.128895707719568,11.000187866986787,314,-18.384796142578125,-8.1958351135253906,20.128895707719568,11.000187866986787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3476,2889,2582,-1.928746228369107,8.8919197603010574,9.0986976560978476,-1.5530878156337167,-0.33653256095171002,1.5891305571445746,-5.7775204263376736,-3.6440617816193566,6.8307341146474068,2.4688138752100142,0.092780068761714851,2.0035207058444033,0.0043893910889296617,1.3788991232341077,-0.12057474406551638,350.22540010904282,154.30335186250574,384.24581671901052,151.10028037222847,-1,-1,-0.062591790637899908,-0.286181522901098,0.064350062384367607,-0.29813328219317736,-1.3731343283582089,-0.86567164179104472,-0.063470926511133757,0.0059758796460396835,0.063470926511133757,-0.0059758796460396835,0.00087913587323384945,-0.29215740254713768,238,275,506,274,367,231
8,320,320,-25.07342529296875,-7.6557826995849609,26.216171815605524,21.957878557015206,320,-25.07342529296875,-7.6557826995849609,26.216171815605524,21.957878557015206,320,-25.07342529296875,-7.6557826995849609,26.216171815605524,21.957878557015206,320,-25.07342529296875,-7.6557826995849609,26.216171815605524,21.957878557015206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345,2789,2891,2.3256790780124277,-1.3040334054518397,2.6663244919624951,0.56284361691515983,0.25290120831709828,0.61705101755882996,-5.1836502937137254,-1.2673233761089335,5.3363226014878951,2.5937799450351102,-0.048206400589293708,2.0264593047637676,0.022982378761209787,1.4489040121869241,0.011387658644786747,349.76477698489981,154.48295116865802,371.5,146.75,-1,-1,-0.064310533638433545,-0.28551137623635064,0.016791044776119403,-0.31436567164179102,-1.3731343283582089,-0.86567164179104472,-0.040550789207276478,0.014427147702720189,0.040550789207276478,-0.014427147702720189,-0.023759744431157071,-0.29993852393907083,238,275,506,274,367,231
9,360,322,-35.093032836914062,-5.6969547271728516,35.552443613009018,6.8277779592013683,322,-35.093032836914062,-5.6969547271728516,35.552443613009018,6.8277779592013683,322,-35.093032836914062,-5.6969547271728516,35.552443613009018,6.8277779592013683,322,-35.093032836914062,-5.6969547271728516,35.552443613009018,6.8277779592013683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590,3000,2812,0.78878779091894557,-7.0056867827115781,7.0499527286757386,0.11166319682536141,-0.10346585196927549,0.15222960306388317,1.0733484553118444,0.98767996283602599,1.4586255912701163,2.3724010740314267,-0.060546952320553959,2.0494854633668229,-0.00429544320463493,1.4016744405236812,-0.017020764464365512,351.35108734287314,154.80915427913993,373.87851613158307,148.5656336200106,-1,-1,-0.05839146513853305,-0.28429420045097042,0.025666104968593541,-0.30759091932831867,-1.3731343283582089,-0.86567164179104472,-0.042028785053563292,0.01164835943867415,0.042028785053563292,-0.011648359438674094,-0.016362680084969754,-0.29594255988964457,238,275,506,274,367,231
