"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
363.943,122.705,0.820049,368.628,241.753,0.850739,291.831,244.808,0.735859,271.506,381.113,0.67111,326.293,492.391,0.670789,445.387,235.476,0.717488,467.296,382.68,0.685189,395.252,490.806,0.642227,367.051,493.922,0.517893,318.496,493.926,0.485244,0,0,0,0,0,0,417.162,490.793,0.479494,0,0,0,0,0,0,345.109,110.161,0.903178,379.609,107.108,0.903743,320.109,133.658,0.905134,403.051,128.977,0.876172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365.441,122.714,0.821346,368.618,241.704,0.842921,291.833,243.324,0.736025,271.517,381.122,0.64652,326.313,493.859,0.668001,445.375,235.458,0.720885,467.288,382.709,0.681051,395.282,489.244,0.661322,367.023,493.929,0.512594,318.468,493.922,0.478586,0,0,0,0,0,0,417.14,492.355,0.474361,0,0,0,0,0,0,345.109,110.164,0.906529,381.066,108.564,0.903132,320.106,133.652,0.906052,403.057,130.43,0.881108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.94,122.725,0.818162,368.618,241.725,0.844936,291.849,243.335,0.739422,271.542,381.166,0.655158,326.298,493.869,0.676675,445.368,235.463,0.718782,467.289,381.181,0.674467,396.793,487.659,0.667223,367.026,493.891,0.513601,318.475,492.379,0.480433,0,0,0,0,0,0,415.632,490.792,0.470842,0,0,0,0,0,0,345.108,110.167,0.905017,381.063,108.557,0.904403,320.105,133.645,0.90797,403.05,130.436,0.882011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.94,124.234,0.818734,368.602,241.726,0.842606,291.825,243.352,0.736136,271.483,382.679,0.670713,326.313,493.898,0.677067,445.36,235.467,0.71896,467.287,382.695,0.67049,396.817,487.65,0.66326,367.043,490.775,0.504445,318.498,490.78,0.477167,0,0,0,0,0,0,417.146,487.656,0.47372,0,0,0,0,0,0,345.109,110.18,0.902013,381.059,108.569,0.901614,320.11,133.646,0.905103,403.055,130.428,0.879783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.938,122.721,0.821932,368.602,241.751,0.841783,291.826,244.813,0.734983,271.509,382.768,0.672683,324.759,492.393,0.679588,445.374,235.482,0.715282,467.28,381.145,0.666871,395.284,489.206,0.640795,367.057,492.369,0.508513,318.485,492.377,0.478664,0,0,0,0,0,0,417.179,489.222,0.475721,0,0,0,0,0,0,345.095,110.175,0.903524,381.062,108.563,0.902376,320.106,133.655,0.905193,403.056,130.442,0.884555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.94,122.718,0.822264,368.59,241.719,0.834439,291.832,243.346,0.736458,271.509,384.287,0.665246,324.767,493.865,0.683693,445.359,235.47,0.715525,467.279,381.174,0.669143,396.807,486.092,0.651138,367.046,492.351,0.504401,318.497,492.356,0.482748,0,0,0,0,0,0,417.16,489.217,0.467972,0,0,0,0,0,0,345.101,110.171,0.904296,381.063,108.566,0.901683,320.115,133.663,0.898337,403.053,130.436,0.884078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.934,122.716,0.824657,368.611,241.74,0.839243,291.835,244.812,0.735037,271.5,382.753,0.680605,326.295,493.864,0.676346,445.379,235.489,0.712955,467.266,381.15,0.676113,396.816,486.094,0.653066,368.547,492.351,0.507576,318.512,492.355,0.471463,0,0,0,0,0,0,417.162,489.219,0.468282,0,0,0,0,0,0,345.094,110.17,0.902779,381.063,108.564,0.903862,320.104,133.666,0.903251,403.06,130.437,0.884584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.935,122.7,0.826953,368.616,241.715,0.840273,291.813,243.33,0.730298,271.493,382.751,0.680022,324.762,493.888,0.687289,445.388,235.458,0.718639,467.294,379.603,0.674383,395.217,490.79,0.654186,367.057,493.937,0.526678,318.497,493.95,0.475642,0,0,0,0,0,0,417.151,492.348,0.487858,0,0,0,0,0,0,345.089,110.162,0.905068,381.064,108.564,0.903191,320.108,133.659,0.905269,403.045,130.445,0.883164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.942,122.697,0.827643,368.6,241.729,0.840053,291.816,243.351,0.732757,271.525,384.295,0.664968,324.773,493.884,0.678213,445.369,235.466,0.718493,467.303,378.027,0.663152,395.291,489.208,0.64607,367.043,492.366,0.506244,318.477,493.913,0.472829,0,0,0,0,0,0,417.157,489.23,0.474439,0,0,0,0,0,0,345.092,110.166,0.903503,381.063,108.565,0.90299,320.106,133.664,0.905451,403.051,130.441,0.881782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.921,122.709,0.825396,368.592,241.755,0.842753,291.808,244.823,0.72769,271.541,384.259,0.655713,324.746,493.899,0.682431,445.357,235.477,0.717507,467.329,379.547,0.67168,396.813,487.672,0.669303,367.035,493.903,0.508353,318.484,493.897,0.4642,0,0,0,0,0,0,417.153,490.797,0.47611,0,0,0,0,0,0,345.073,110.164,0.90167,379.61,108.555,0.901719,320.093,133.652,0.910568,403.043,128.974,0.872572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
